mlat_e040_a040_rep_b0_w005_s0, sft, 0.0, 0, 1, replace, 1.0, fixed, ab, 0.4, 0.0, 0.05, loop, 0.0, 0.4, 0.0, 0
mlat_e040_a040_rep_b0_w010_s0, sft, 0.0, 0, 1, replace, 1.0, fixed, ab, 0.4, 0.0, 0.1, loop, 0.0, 0.4, 0.0, 0
mlat_e040_a040_rep_b0_w020_s0, sft, 0.0, 0, 1, replace, 1.0, fixed, ab, 0.4, 0.0, 0.2, loop, 0.0, 0.4, 0.0, 0
mlat_e040_a040_rep_b0_w050_s0, sft, 0.0, 0, 1, replace, 1.0, fixed, ab, 0.4, 0.0, 0.5, loop, 0.0, 0.4, 0.0, 0
mlat_e010_a040_rep_b0_w005_s0, sft, 0.0, 0, 1, replace, 1.0, fixed, ab, 0.1, 0.0, 0.05, loop, 0.0, 0.4, 0.0, 0
mlat_e010_a040_rep_b0_w010_s0, sft, 0.0, 0, 1, replace, 1.0, fixed, ab, 0.1, 0.0, 0.1, loop, 0.0, 0.4, 0.0, 0
mlat_e010_a040_rep_b0_w020_s0, sft, 0.0, 0, 1, replace, 1.0, fixed, ab, 0.1, 0.0, 0.2, loop, 0.0, 0.4, 0.0, 0
mlat_e010_a040_rep_b0_w050_s0, sft, 0.0, 0, 1, replace, 1.0, fixed, ab, 0.1, 0.0, 0.5, loop, 0.0, 0.4, 0.0, 0
mlat_e040_a040_rep_b0_w005_s42, sft, 0.0, 42, 1, replace, 1.0, fixed, ab, 0.4, 0.0, 0.05, loop, 0.0, 0.4, 0.0, 0
mlat_e040_a040_rep_b0_w005_s43, sft, 0.0, 43, 1, replace, 1.0, fixed, ab, 0.4, 0.0, 0.05, loop, 0.0, 0.4, 0.0, 0
mlat_e010_a040_rep_b0_w005_s42, sft, 0.0, 42, 1, replace, 1.0, fixed, ab, 0.1, 0.0, 0.05, loop, 0.0, 0.4, 0.0, 0
mlat_e010_a040_rep_b0_w005_s43, sft, 0.0, 43, 1, replace, 1.0, fixed, ab, 0.1, 0.0, 0.05, loop, 0.0, 0.4, 0.0, 0
