pofdws2f_qwen7b_b1_ea0p05_w0p5_l0p2_es0p2_s42_fresh_data, sft_kl, 1, 42, 1, replace, 1.0, fixed, ab, 0.2, 0.0, 0.5, loop, 0.0, 0.05, 0, 0, live, 1, 1, 16
pofdws2f_qwen7b_b1_ea0p05_w0p5_l0p2_es0p2_s43_fresh_data, sft_kl, 1, 43, 1, replace, 1.0, fixed, ab, 0.2, 0.0, 0.5, loop, 0.0, 0.05, 0, 0, live, 1, 1, 16
pofdws2f_qwen7b_b1_ea0p1_w0p5_l0p2_es0p2_s42_fresh_data, sft_kl, 1, 42, 1, replace, 1.0, fixed, ab, 0.2, 0.0, 0.5, loop, 0.0, 0.1, 0, 0, live, 1, 1, 16
pofdws2f_qwen7b_b1_ea0p1_w0p5_l0p2_es0p2_s43_fresh_data, sft_kl, 1, 43, 1, replace, 1.0, fixed, ab, 0.2, 0.0, 0.5, loop, 0.0, 0.1, 0, 0, live, 1, 1, 16
pofdws2f_qwen7b_b1_ea0p2_w0p5_l0p2_es0p2_s42_fresh_data, sft_kl, 1, 42, 1, replace, 1.0, fixed, ab, 0.2, 0.0, 0.5, loop, 0.0, 0.2, 0, 0, live, 1, 1, 16
pofdws2f_qwen7b_b1_ea0p2_w0p5_l0p2_es0p2_s43_fresh_data, sft_kl, 1, 43, 1, replace, 1.0, fixed, ab, 0.2, 0.0, 0.5, loop, 0.0, 0.2, 0, 0, live, 1, 1, 16
pofdicls2_qwen7b_w0p5_l0p2_es0p2_ea0p05_k8live_s42, frozen, 0, 42, 1, replace, 1.0, fixed, ab, 0.2, 0.0, 0.5, loop, 0.0, 0.05, 8, 0, live, 0, 0, 0
pofdicls2_qwen7b_w0p5_l0p2_es0p2_ea0p05_k8live_s43, frozen, 0, 43, 1, replace, 1.0, fixed, ab, 0.2, 0.0, 0.5, loop, 0.0, 0.05, 8, 0, live, 0, 0, 0
pofdicls2_qwen7b_w0p5_l0p2_es0p2_ea0p05_k32live_s42, frozen, 0, 42, 1, replace, 1.0, fixed, ab, 0.2, 0.0, 0.5, loop, 0.0, 0.05, 32, 0, live, 0, 0, 0
pofdicls2_qwen7b_w0p5_l0p2_es0p2_ea0p05_k32live_s43, frozen, 0, 43, 1, replace, 1.0, fixed, ab, 0.2, 0.0, 0.5, loop, 0.0, 0.05, 32, 0, live, 0, 0, 0
pofdicls2_qwen7b_w0p5_l0p2_es0p2_ea0p1_k8live_s42, frozen, 0, 42, 1, replace, 1.0, fixed, ab, 0.2, 0.0, 0.5, loop, 0.0, 0.1, 8, 0, live, 0, 0, 0
pofdicls2_qwen7b_w0p5_l0p2_es0p2_ea0p1_k8live_s43, frozen, 0, 43, 1, replace, 1.0, fixed, ab, 0.2, 0.0, 0.5, loop, 0.0, 0.1, 8, 0, live, 0, 0, 0
pofdicls2_qwen7b_w0p5_l0p2_es0p2_ea0p1_k32live_s42, frozen, 0, 42, 1, replace, 1.0, fixed, ab, 0.2, 0.0, 0.5, loop, 0.0, 0.1, 32, 0, live, 0, 0, 0
pofdicls2_qwen7b_w0p5_l0p2_es0p2_ea0p1_k32live_s43, frozen, 0, 43, 1, replace, 1.0, fixed, ab, 0.2, 0.0, 0.5, loop, 0.0, 0.1, 32, 0, live, 0, 0, 0
pofdicls2_qwen7b_w0p5_l0p2_es0p2_ea0p2_k8live_s42, frozen, 0, 42, 1, replace, 1.0, fixed, ab, 0.2, 0.0, 0.5, loop, 0.0, 0.2, 8, 0, live, 0, 0, 0
pofdicls2_qwen7b_w0p5_l0p2_es0p2_ea0p2_k8live_s43, frozen, 0, 43, 1, replace, 1.0, fixed, ab, 0.2, 0.0, 0.5, loop, 0.0, 0.2, 8, 0, live, 0, 0, 0
pofdicls2_qwen7b_w0p5_l0p2_es0p2_ea0p2_k32live_s42, frozen, 0, 42, 1, replace, 1.0, fixed, ab, 0.2, 0.0, 0.5, loop, 0.0, 0.2, 32, 0, live, 0, 0, 0
pofdicls2_qwen7b_w0p5_l0p2_es0p2_ea0p2_k32live_s43, frozen, 0, 43, 1, replace, 1.0, fixed, ab, 0.2, 0.0, 0.5, loop, 0.0, 0.2, 32, 0, live, 0, 0, 0
