pofdiclf_qwen7b_k0_ea0p1_w0p5_l0p2_es0_s0, frozen, 0, 0, 1, replace, 1.0, fixed, ab, 0, 0.0, 0.5, loop, 0.0, 0.1, 0, -1
pofdiclf_qwen7b_k0_ea0p1_w0p5_l0p2_es0_s42, frozen, 0, 42, 1, replace, 1.0, fixed, ab, 0, 0.0, 0.5, loop, 0.0, 0.1, 0, -1
pofdiclf_qwen7b_k0_ea0p1_w0p5_l0p2_es0_s43, frozen, 0, 43, 1, replace, 1.0, fixed, ab, 0, 0.0, 0.5, loop, 0.0, 0.1, 0, -1
pofdiclf_qwen7b_k0_ea0p1_w0p5_l0p2_es0p1_s0, frozen, 0, 0, 1, replace, 1.0, fixed, ab, 0.1, 0.0, 0.5, loop, 0.0, 0.1, 0, -1
pofdiclf_qwen7b_k0_ea0p1_w0p5_l0p2_es0p1_s42, frozen, 0, 42, 1, replace, 1.0, fixed, ab, 0.1, 0.0, 0.5, loop, 0.0, 0.1, 0, -1
pofdiclf_qwen7b_k0_ea0p1_w0p5_l0p2_es0p1_s43, frozen, 0, 43, 1, replace, 1.0, fixed, ab, 0.1, 0.0, 0.5, loop, 0.0, 0.1, 0, -1
pofdiclf_qwen7b_k0_ea0p1_w0p5_l0p2_es0p2_s0, frozen, 0, 0, 1, replace, 1.0, fixed, ab, 0.2, 0.0, 0.5, loop, 0.0, 0.1, 0, -1
pofdiclf_qwen7b_k0_ea0p1_w0p5_l0p2_es0p2_s42, frozen, 0, 42, 1, replace, 1.0, fixed, ab, 0.2, 0.0, 0.5, loop, 0.0, 0.1, 0, -1
pofdiclf_qwen7b_k0_ea0p1_w0p5_l0p2_es0p2_s43, frozen, 0, 43, 1, replace, 1.0, fixed, ab, 0.2, 0.0, 0.5, loop, 0.0, 0.1, 0, -1
pofdiclf_qwen7b_k0_ea0p1_w0p5_l0p2_es0p3_s0, frozen, 0, 0, 1, replace, 1.0, fixed, ab, 0.3, 0.0, 0.5, loop, 0.0, 0.1, 0, -1
pofdiclf_qwen7b_k0_ea0p1_w0p5_l0p2_es0p3_s42, frozen, 0, 42, 1, replace, 1.0, fixed, ab, 0.3, 0.0, 0.5, loop, 0.0, 0.1, 0, -1
